"","sound.files","selec","duration","meanfreq","sd","freq.median","freq.Q25","freq.Q75","freq.IQR","time.median","time.Q25","time.Q75","time.IQR","skew","kurt","sp.ent","time.ent","entropy","sfm","meandom","mindom","maxdom","dfrange","modindx","startdom","enddom","dfslope","meanpeakf","bottom.freq","top.freq"
"15","tmp.wav",18,0.243812546958821,5.80456363273973,1.44813197638257,5.86769230769231,4.85025641025641,7.09435897435898,2.24410256410256,0.108125543478261,0.0597870652173913,0.160704239130435,0.100917173913043,2.74743101646398,13.7657485375888,0.945730625128877,0.884917271210988,0.836893364089707,0.657877793286524,5.99211498973306,2.64,7.68,5.04,34.9047619047619,2.64,6.24,14.765441913898,7.32,2.52,8.28
"16","tmp.wav",19,0.183395868655772,7.77192801838611,1.20248899843592,8.21454545454546,7.88181818181818,8.44909090909091,0.567272727272728,0.0951099321705426,0.0614162790697674,0.133068604651163,0.0716523255813954,4.12346052829971,25.3948699032805,0.838490976768777,0.886194686946698,0.743066248665237,0.331596530388414,8.19516279069767,4.08,8.88,4.8,10.6,4.08,4.08,0,8.52,3.96,9
"17","tmp.wav",20,0.167062532176601,8.25571209517776,0.32087303837585,8.238,7.998,8.4,0.402000000000001,0.0702519230769231,0.0419798076923077,0.102379326923077,0.0603995192307692,2.03562611097779,7.13416155281863,0.899734726161266,0.886760640816038,0.797849342335207,0.501434823013989,8.27677419354839,7.68,9.12,1.44,16.8333333333333,8.88,9.12,1.43658782656483,8.28,7.56,9.24
"18","tmp.wav",21,0.172104199814306,7.54449203322045,1.54978040743336,8.24965226554268,7.62145416227608,8.49976817702845,0.878314014752371,0.0930985318444996,0.0546633581472291,0.123846670802316,0.0691833126550868,3.98623327027709,21.6728150440781,0.859242119150728,0.887030092515956,0.762173616443877,0.401053994583178,8.38336633663366,7.92,8.64,0.720000000000001,23,8.64,8.4,-1.39450402871604,8.52,3.48,9
"19","tmp.wav",22,0.205916706326661,8.40673800849499,0.284974134589845,8.37405405405405,8.22324324324324,8.55405405405405,0.33081081081081,0.0761551308539945,0.0519046143250689,0.122954373278237,0.0710497589531681,2.14000208170232,8.76213603704991,0.921427699261987,0.884860634599632,0.815335098706641,0.590046286678059,8.42438799076212,7.92,9.12,1.2,20,8.88,7.92,-4.66207923157569,8.52,7.8,9.24
"20","tmp.wav",23,0.125500024171572,5.25438071675715,1.20270993896182,5.18393351800554,4.84886426592798,5.74238227146814,0.893518005540166,0.0715910652920962,0.0388144329896907,0.100917525773196,0.0621030927835052,3.46471893359795,17.5980076524383,0.908764628262593,0.89386419324698,0.812312161293335,0.568171364727755,5.26109589041096,2.88,6.96,4.08,7.05882352941176,4.8,6.24,11.4741013757206,5.16,2.28,8.04
"21","tmp.wav",24,0.128104191339816,5.59507833300502,0.552837419450545,5.5304347826087,5.22521739130435,5.93739130434783,0.712173913043478,0.0720316358024691,0.0418387345679012,0.094891975308642,0.0530532407407407,1.72049606347484,6.15137594052516,0.932453648514429,0.892847249398573,0.832538675267772,0.609236380603508,5.48375838926174,4.56,6.96,2.4,10.5,4.8,5.52,5.62042500303594,5.4,4.2,7.08
"22","tmp.wav",25,0.166395865381531,8.17611113142883,0.239851848736741,8.13238493723849,8.04200836820084,8.28903765690377,0.247029288702929,0.0808452763496144,0.0436307840616967,0.116776510282776,0.0731457262210797,2.85129777244314,12.8617520740488,0.87947559154553,0.887371803145142,0.780421841491897,0.449475352287638,8.26215384615385,7.92,8.64,0.720000000000001,23.6666666666667,8.64,8.4,-1.44234353089063,8.28,7.56,9
"23","tmp.wav",26,0.173854200151368,5.37484018911468,0.940658981407938,5.36352,4.72992,6.14112,1.4112,0.0897036240786241,0.0516863738738739,0.128148034398034,0.0764616605241605,1.79523751001162,6.94354779262837,0.93880378780778,0.887035266656774,0.832752068256464,0.620184781572247,5.46058823529412,4.32,6.96,2.64,11.5454545454545,5.28,5.52,1.38046707983495,5.4,2.76,7.08
"24","tmp.wav",27,0.179937534656361,8.16199599415461,0.199843331232082,8.17395348837209,8.04,8.27441860465116,0.234418604651163,0.097020932304038,0.0457323337292162,0.128648901425178,0.082916567695962,2.41594098945769,9.50564094529977,0.882245175439779,0.886268416987909,0.781906035032233,0.479061650990726,8.19867298578199,7.92,8.64,0.720000000000001,15.3333333333333,8.64,8.16,-2.66759240042212,8.28,7.56,8.76
